Date,PS3 player count
7/2/2017,1119900
7/3/2017,1120400
7/4/2017,1121000
7/5/2017,1121400
7/6/2017,1121800
7/7/2017,1122300
7/8/2017,1123100
7/9/2017,1123700
7/10/2017,1124500
7/11/2017,1125100
7/12/2017,1125900
7/13/2017,1126200
7/14/2017,1126500
7/15/2017,1127100
7/16/2017,1127700
7/17/2017,1128400
7/18/2017,1128900
7/19/2017,1129000
7/20/2017,1129800
7/21/2017,1130300
7/22/2017,1131500
7/23/2017,1132400
7/24/2017,1133100
7/25/2017,1133700
7/26/2017,1134500
7/27/2017,1134700
7/28/2017,1135300
7/29/2017,1136000
7/30/2017,1136700
7/31/2017,1137500
8/1/2017,1138000
8/2/2017,1138300
8/3/2017,1139000
8/4/2017,1139800
8/5/2017,1140800
8/6/2017,1141400
8/7/2017,1142000
8/8/2017,1142500
8/9/2017,1143000
8/10/2017,1143600
8/11/2017,1144300
8/12/2017,1145100
8/13/2017,1145800
8/14/2017,1146200
8/15/2017,1146700
8/16/2017,1147200
8/17/2017,1147800
8/18/2017,1148300
8/19/2017,1148800
8/20/2017,1149400
8/21/2017,1149800
8/22/2017,1150200
8/23/2017,1150900
8/24/2017,1151200
8/25/2017,1151700
8/26/2017,1152500
8/27/2017,1153000
8/28/2017,1153600
8/29/2017,1154100
8/30/2017,1154600
8/31/2017,1155000
9/1/2017,1155400
9/2/2017,1156500
9/3/2017,1157400
9/4/2017,1158000
9/5/2017,1158400
9/6/2017,1158900
9/7/2017,1159300
9/8/2017,1159500
9/9/2017,1160000
9/10/2017,1160300
9/11/2017,1160800
9/12/2017,1161200
9/13/2017,1161600
9/14/2017,1161700
9/15/2017,1162200
9/16/2017,1163000
9/17/2017,1163700
9/18/2017,1164200
9/19/2017,1164500
9/20/2017,1164700
9/21/2017,1164800
9/22/2017,1165000
9/23/2017,1165700
9/24/2017,1166200
9/25/2017,1166500
9/26/2017,1166600
9/27/2017,1166700
9/28/2017,1167100
9/29/2017,1167500
9/30/2017,1168200
10/1/2017,1168700
10/2/2017,1169100
10/3/2017,1169300
10/4/2017,1169500
10/5/2017,1169800
10/6/2017,1170000
10/7/2017,1170500
10/8/2017,1171000
10/9/2017,1171300
10/10/2017,1171700
10/11/2017,1172100
10/12/2017,1172500
10/13/2017,1173000
10/14/2017,1173600
10/15/2017,1174400
10/16/2017,1175000
10/17/2017,1175400
10/18/2017,1176000
10/19/2017,1176100
10/20/2017,1176500
10/21/2017,1177100
10/22/2017,1177400
10/23/2017,1177700
10/24/2017,1178000
10/25/2017,1178500
10/26/2017,1178900
10/27/2017,1179300
10/28/2017,1180100
10/29/2017,1180700
10/30/2017,1181000
10/31/2017,1181200
11/1/2017,1181300
11/2/2017,1182000
11/3/2017,1182400
11/4/2017,1183300
11/5/2017,1184300
11/6/2017,1184900
11/7/2017,1185100
11/8/2017,1185300
11/9/2017,1185500
11/10/2017,1185900
11/11/2017,1186500
11/12/2017,1187200
11/13/2017,1187600
11/14/2017,1187900
11/15/2017,1188600
11/16/2017,1188800
11/17/2017,1189000
11/18/2017,1189700
11/19/2017,1190400
11/20/2017,1190600
11/21/2017,1191000
11/22/2017,1191400
11/23/2017,1191800
11/24/2017,1192400
11/25/2017,1193200
11/26/2017,1193800
11/27/2017,1194100
11/28/2017,1194700
11/29/2017,1195100
11/30/2017,1195500
12/1/2017,1195700
12/2/2017,1196300
12/3/2017,1197000
12/4/2017,1197300
12/5/2017,1197700
12/6/2017,1198100
12/7/2017,1198300
12/8/2017,1199000
12/9/2017,1199500
12/10/2017,1200200
